OBJECTID,FEATURETYPE,DESCRIPTION,CLASS,FID,NAME,OPERATIONALSTATUS,OWNER,INDUSTRYID,ADDRESS,SUBURB,STATE,SPATIALCONFIDENCE,REVISED,COMMENT,LATITUDE,LONGITUDE
1,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,1,Cobram,Operational,BP,,3701 Murray Valley Highway,Cobram,Victoria,5,20110725,,-35.9211754139999,145.638305815
2,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,2,Horsham,Operational,Atlas Fuels Pty Ltd,,2 O'Callaghans Parade,Horsham,Victoria,5,20110725,,-36.7191071299999,142.199983937
3,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,3,Paynesville,Operational,7-Eleven Pty Ltd,,Paynesville Road,Paynesville,Victoria,5,20120713,,-37.9070616619999,147.719016274
4,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,4,Lakes Entrance,Operational,7-Eleven Pty Ltd,,16 Princes Highway,Lakes Entrance,Victoria,5,20120713,,-37.874816895,148.007873535
5,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,5,Oz Fuel,Operational,Oz Fuel,,653 Deception Bay Road,Deception Bay,Queensland,5,20110725,,-27.2051319999999,153.038373
6,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,6,Independent,Operational,Independent Fuel Supplies,,653 Deception Bay Road,Deception Bay,Queensland,5,20110725,,-27.205189,153.038314
7,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,7,Coles Express Rothwell,Operational,Shell,,761 Deception Bay Road,Rothwell,Queensland,5,20110725,,-27.2139079999999,153.047045
8,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,8,Independent Kempsey,Operational,Independent Fuel Supplies,,101 Smith Street,Kempsey,New South Wales,5,20110725,,-31.0752869999999,152.843878
9,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,9,Independent Wanneroo,Operational,Independent Fuel Supplies,,951 Wanneroo Road,Wanneroo,Western Australia,5,20110725,,-31.75262,115.803339
10,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,10,Gull Madeley,Operational,Gull,,182 Wanneroo Road,Madeley,Western Australia,5,20110725,,-31.816954,115.82135
11,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,11,Gull Dianella,Operational,Gull,,63 Walter Road West,Dianella,Western Australia,5,20110725,,-31.906418,115.881988
12,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,12,Liberty-Como,Operational,Liberty,,25 Preston Street,Como,Western Australia,5,20110725,,-31.9942599999999,115.859453
13,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,13,Independent Maddington,Operational,Independent Fuel Supplies,,137 Kelvin Road,Maddington,Western Australia,5,20110725,,-32.0346539999999,116.000983
14,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,14,Caltex Wellington,Operational,Caltex,,124 Lee Street,Wellington,New South Wales,5,20110725,,-32.550847,148.941095
15,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,15,Independent Wellington,Operational,Independent Fuel Supplies,,156-174 Mitchell Highway,Wellington,New South Wales,5,20110725,,-32.5625029999999,148.943067
16,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,16,Independent Taralga,Operational,Independent Fuel Supplies,,60 Bunnaby Street,Taralga,New South Wales,5,20110725,,-34.405932,149.818929
17,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,17,Independent Crookwell,Operational,Independent Fuel Supplies,,204 Goulburn Street,Crookwell,New South Wales,5,20110725,,-34.4610739999999,149.474369
18,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,18,BP Kerang,Operational,BP,,19 Wellington Street,Kerang,Victoria,5,20110725,,-35.7347389999999,143.922234
19,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,19,BP Serpentine,Operational,BP,,Loddon Valley Highway and Bridgewater-Serpentine Road,Serpentine,Victoria,5,20110725,,-36.4141729999999,143.974645
20,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,20,Independent Horsham,Operational,Independent Fuel Supplies,,93 Wilson Street,Horsham,Victoria,5,20110725,,-36.716937,142.196748
21,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,21,Independent Heathcote,Operational,Independent Fuel Supplies,,10-14 High Street,Heathcote,Victoria,5,20110725,,-36.932109,144.716106
22,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,22,Caltex Bairnsdale,Operational,Caltex,,322 Main Street,Bairnsdale,Victoria,5,20110725,,-37.827075,147.624612
23,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,23,Independent Sale,Operational,Independent Fuel Supplies,,113 York Street,Sale,Victoria,5,20110725,,-38.1100559999999,147.067867
24,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,24,Mobil Sale,Operational,7-Eleven Pty Ltd,,127-133 Foster Street,Sale,Victoria,5,20120713,,-38.111183,147.067728
25,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,25,Mobil Traralgon,Operational,7-Eleven Pty Ltd,,21 Princes Street,Traralgon,Victoria,5,20120713,,-38.198027,146.540177
26,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,26,Mobil Trafalgar,Operational,7-Eleven Pty Ltd,,41 Princes Highway,Trafalgar,Victoria,5,20120713,,-38.20848,146.151179
27,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,27,Shell Morwell,Operational,Shell,,167-169 Princes Drive,Morwell,Victoria,5,20110725,,-38.2357069999999,146.395998
28,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,28,Roma Truck Stop,Operational,Shell,,72 Quinton Street,Roma,Queensland,5,20110725,,-26.571671,148.78727
29,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,29,Coles Express Caboolture,Operational,Shell,,686 The Abbey Place,Caboolture,Queensland,5,20110725,,-27.072266,153.025322
